scenario,height_m,sir_db
Ground 0 m,0.0,28.768815612558143
Ground 0 m,0.0,40.63499216588319
Ground 0 m,0.0,10.941127247270705
Ground 0 m,0.0,26.55297102391495
Ground 0 m,0.0,31.987785341889428
Ground 0 m,0.0,56.27995406960666
Ground 0 m,0.0,16.339870713359975
Ground 0 m,0.0,37.698465784065405
Ground 0 m,0.0,17.400171488788956
Ground 0 m,0.0,15.021248764049043
Ground 0 m,0.0,41.161616245534695
Ground 0 m,0.0,29.046449376664224
Ground 0 m,0.0,26.452723268436806
Ground 0 m,0.0,48.312897573066195
Ground 0 m,0.0,77.83646911673073
Ground 0 m,0.0,55.76802573774323
Ground 0 m,0.0,45.35512583852565
Ground 0 m,0.0,19.553346404750187
Ground 0 m,0.0,32.73788834155521
Ground 0 m,0.0,-8.13426428497017
Ground 0 m,0.0,39.97648409517958
Ground 0 m,0.0,34.06070742229299
Ground 0 m,0.0,7.78037749803829
Ground 0 m,0.0,37.90391859069598
Ground 0 m,0.0,4.20560846563185
Ground 0 m,0.0,31.598533113558275
Ground 0 m,0.0,26.49427319952238
Ground 0 m,0.0,27.903605838938677
Ground 0 m,0.0,22.867306871906056
Ground 0 m,0.0,45.30114201946387
Ground 0 m,0.0,42.13101744979436
Ground 0 m,0.0,26.46765251471683
Ground 0 m,0.0,89.23839621707856
Ground 0 m,0.0,33.10873701497047
Ground 0 m,0.0,38.79974937005444
Ground 0 m,0.0,35.78514724989641
Ground 0 m,0.0,24.5407221428134
Ground 0 m,0.0,22.804726670932244
Ground 0 m,0.0,12.586905856700632
Ground 0 m,0.0,24.42321558622178
Ground 0 m,0.0,-11.462845516709809
Ground 0 m,0.0,39.77640430614074
Ground 0 m,0.0,23.972600403447256
Ground 0 m,0.0,19.056324366562677
Ground 0 m,0.0,-23.08526857022195
Ground 0 m,0.0,-3.342240195051756
Ground 0 m,0.0,32.960692066867544
Ground 0 m,0.0,77.76119612045338
Ground 0 m,0.0,1.7061924334078091
Ground 0 m,0.0,10.746753353845673
Ground 0 m,0.0,-8.5490122477287
Ground 0 m,0.0,5.823342553739616
Ground 0 m,0.0,54.59537567547687
Ground 0 m,0.0,10.499169731737616
Ground 0 m,0.0,66.31788018593711
Ground 0 m,0.0,24.781040323197793
Ground 0 m,0.0,45.602772886708955
Ground 0 m,0.0,54.03886318415411
Ground 0 m,0.0,8.446535095292512
Ground 0 m,0.0,14.89352941588031
Ground 0 m,0.0,40.63465187460611
Ground 0 m,0.0,15.616085809954093
Ground 0 m,0.0,51.5549446499984
Ground 0 m,0.0,16.4306364312254
Ground 0 m,0.0,20.43402272820009
Ground 0 m,0.0,22.206954958571494
Ground 0 m,0.0,-10.30189850897768
Ground 0 m,0.0,66.3704466687691
Ground 0 m,0.0,30.46239170650656
Ground 0 m,0.0,28.457908407290155
Ground 0 m,0.0,46.232911323335195
Ground 0 m,0.0,25.049310478741106
Ground 0 m,0.0,26.67524402202065
Ground 0 m,0.0,-2.1537049185094883
Ground 0 m,0.0,-1.5629908718201504
Ground 0 m,0.0,33.82698589498315
Ground 0 m,0.0,34.282848779020114
Ground 0 m,0.0,-6.401359867080162
Ground 0 m,0.0,59.65059874064171
Ground 0 m,0.0,29.874636527748308
Ground 0 m,0.0,34.94591479460035
Ground 0 m,0.0,18.37129212905711
Ground 0 m,0.0,33.017706338357435
Ground 0 m,0.0,31.86320655347656
Ground 0 m,0.0,31.198064034884048
Ground 0 m,0.0,41.83007298155652
Ground 0 m,0.0,10.41707781740624
Ground 0 m,0.0,29.366809181480274
Ground 0 m,0.0,9.061819533079799
Ground 0 m,0.0,1.6122364652263954
Ground 0 m,0.0,37.1303039868769
Ground 0 m,0.0,66.3945864092228
Ground 0 m,0.0,22.992909755199264
Ground 0 m,0.0,32.446976906921506
Ground 0 m,0.0,20.602058031609054
Ground 0 m,0.0,11.295238155252378
Ground 0 m,0.0,49.16504786276904
Ground 0 m,0.0,8.053206114533943
Ground 0 m,0.0,42.74760444011963
Ground 0 m,0.0,28.365220689531853
Ground 0 m,0.0,29.331203420110953
Ground 0 m,0.0,78.51733001182762
Ground 0 m,0.0,25.011831849423093
Ground 0 m,0.0,31.556421817430742
Ground 0 m,0.0,5.457128575869157
Ground 0 m,0.0,23.002552977801727
Ground 0 m,0.0,11.791311442398353
Ground 0 m,0.0,-10.396983520495922
Ground 0 m,0.0,-11.739060696331565
Ground 0 m,0.0,24.997728927137484
Ground 0 m,0.0,76.81181058440038
Ground 0 m,0.0,47.40961834764768
Ground 0 m,0.0,23.91960787085047
Ground 0 m,0.0,13.171839869357733
Ground 0 m,0.0,29.992368254586292
Ground 0 m,0.0,77.40594842326468
Ground 0 m,0.0,47.555657099853825
Ground 0 m,0.0,47.031098000997844
Ground 0 m,0.0,15.327025055323544
Ground 0 m,0.0,-1.5950152843176664
Ground 0 m,0.0,45.31222142270012
Ground 0 m,0.0,74.59327430382368
Ground 0 m,0.0,96.79758506171567
Ground 0 m,0.0,58.48641489127572
Ground 0 m,0.0,-3.5820825433817354
Ground 0 m,0.0,17.825100803549493
Ground 0 m,0.0,31.871662487074623
Ground 0 m,0.0,37.26109427082356
Ground 0 m,0.0,19.80514022921147
Ground 0 m,0.0,37.081393934608556
Ground 0 m,0.0,28.027385231304386
Ground 0 m,0.0,31.414367601303038
Ground 0 m,0.0,21.997952463850016
Ground 0 m,0.0,24.379169706816775
Ground 0 m,0.0,-3.746898211889494
Ground 0 m,0.0,58.73514880800431
Ground 0 m,0.0,25.824083172417488
Ground 0 m,0.0,39.329390777523024
Ground 0 m,0.0,41.02392159346217
Ground 0 m,0.0,-33.26044207105571
Ground 0 m,0.0,15.048045946553847
Ground 0 m,0.0,28.96614090607627
Ground 0 m,0.0,23.752856174728215
Ground 0 m,0.0,32.07801654893291
Ground 0 m,0.0,30.55982928836695
Ground 0 m,0.0,11.477603798937881
Ground 0 m,0.0,91.9910076747685
Ground 0 m,0.0,28.814382946936373
Ground 0 m,0.0,70.4634574542185
Ground 0 m,0.0,59.918224940626445
Ground 0 m,0.0,63.286920318330175
Ground 0 m,0.0,10.372648585644653
Ground 0 m,0.0,24.888044687190202
Ground 0 m,0.0,32.250522577758396
Ground 0 m,0.0,45.962283474779696
Ground 0 m,0.0,43.77821061490896
Ground 0 m,0.0,27.28346215174184
Ground 0 m,0.0,15.768564947051853
Ground 0 m,0.0,6.784384405486764
Ground 0 m,0.0,34.81092613265534
Ground 0 m,0.0,48.96074720266726
Ground 0 m,0.0,28.79234726930442
Ground 0 m,0.0,-9.466696806248462
Ground 0 m,0.0,34.56013289133709
Ground 0 m,0.0,26.705477756553698
Ground 0 m,0.0,48.20178564897546
Ground 0 m,0.0,8.78947757161551
Ground 0 m,0.0,25.6140700791609
Ground 0 m,0.0,15.606648791281863
Ground 0 m,0.0,71.80881970293481
Ground 0 m,0.0,3.121410246189863
Ground 0 m,0.0,-4.369870870185892
Ground 0 m,0.0,39.886554715072705
Ground 0 m,0.0,30.214437485576934
Ground 0 m,0.0,37.596747525513265
Ground 0 m,0.0,18.83027418815347
Ground 0 m,0.0,18.30007705683297
Ground 0 m,0.0,57.114559705381225
Ground 0 m,0.0,33.444144187435406
Ground 0 m,0.0,29.736781138624757
Ground 0 m,0.0,19.234641827133924
Ground 0 m,0.0,17.220898248909407
Ground 0 m,0.0,-11.648490606865725
Ground 0 m,0.0,69.01070234709212
Ground 0 m,0.0,68.36951375123068
Ground 0 m,0.0,12.25875827423943
Ground 0 m,0.0,67.71498009919486
Ground 0 m,0.0,57.74510018248991
Ground 0 m,0.0,-5.777820152612078
Ground 0 m,0.0,29.606408156560875
Ground 0 m,0.0,-22.164360398882565
Ground 0 m,0.0,50.99124303189033
Ground 0 m,0.0,31.174526534188054
Ground 0 m,0.0,23.282907015900957
